id;code;description;start_date;end_date;usage_limit;used_count;created_at;updated_at;is_deleted;deleted_at;deleted_by
1500;SUMMER2025;Summer special discount for all routes;2025-05-16;2025-06-23;300;279;2025-11-03 22:29:18;;false;;
1501;WINTER25;Winter holiday promotion;2025-07-20;2025-09-07;441;56;2025-11-03 22:29:18;;false;;
1502;EARLYBIRD;Early bird booking discount;2026-04-15;2026-07-01;223;34;2025-11-03 22:29:18;;false;;
1503;FLASHSALE;Limited time flash sale;2026-04-06;2026-07-19;210;200;2025-11-03 22:29:18;;false;;
1504;LOYALTY10;Loyalty program exclusive offer;2026-02-07;2026-03-21;358;349;2025-11-03 22:29:18;;false;;
1505;NEWUSER20;New user welcome discount;2025-12-09;2026-03-22;260;153;2025-11-03 22:29:18;;false;;
1506;WEEKEND30;Weekend travel special;2025-09-01;2025-12-15;596;335;2025-11-03 22:29:18;;false;;
1507;HOLIDAY15;Holiday season promotion;2025-07-02;2025-10-12;320;1;2025-11-03 22:29:18;;false;;
1508;SPRINGSALE;Spring travel deals;2026-04-11;2026-07-09;552;191;2025-11-03 22:29:18;;false;;
1509;BACKTOSCHOOL;Back to school special;2025-08-23;2025-10-14;243;48;2025-11-03 22:29:18;;false;;
1510;FALLFESTIVAL;Fall festival discount;2026-01-24;2026-04-09;435;403;2025-11-03 22:29:18;;false;;
1511;MIDNIGHT50;Midnight exclusive offer;2025-06-17;2025-09-28;258;126;2025-11-03 22:29:18;;false;;
1512;MORNINGCOMMUTE;Morning commute discount;2025-12-12;2026-02-18;435;183;2025-11-03 22:29:18;;false;;
1513;EASTER2025;Easter holiday promotion;2026-02-16;2026-05-07;348;86;2025-11-03 22:29:18;;false;;
1514;BLACKFRIDAY;Black Friday mega sale;2025-12-23;2026-01-26;106;8;2025-11-03 22:29:18;;false;;
